co_code|company_name|owner_code|owner_gp_name|co_industry_gp_code|co_industry_name|incorporation_year|nse_symbol|bse_scrip_id
32737|BETALACT LABORATORIES LTD.|020202000000|Private (Foreign)|0101012030000000|Drugs & pharmaceuticals|1994|NA|BETALACT LAB
32744|BETEX INDIA LTD.|020102000000|Private (Indian)|0101011515000000|Textile processing|1992|NA|BETXIND
32850|BHAAGYALAKSHMI VEGETABLE PRODUCTS LTD.|020102000000|Private (Indian)|0101011101200000|Vegetable oils & products|1991|NA|BHAGYA.VEG.
32984|BHAGAWATI GAS LTD.|020102000000|Private (Indian)|0102040000000000|Other fund based financial services|1974|BAGWATIGAS|BHAGGAS
32986|BHAGAWATI OXYGEN LTD.|020102000000|Private (Indian)|0110000000000000|Diversified|1972|NA|BHAGWOX
32996|BHAGERIA INDUSTRIES LTD.|020102000000|Private (Indian)|0101012035000000|Organic chemicals|1989|BHAGERIA|BHAGIL
33012|BHAGHEERATHA ENGINEERING LTD.|020102000000|Private (Indian)|0102040000000000|Other fund based financial services|1976|NA|BHAGEENG
33015|BHAGIRADHA CHEMICALS & INDS. LTD.|020102000000|Private (Indian)|0101012020000000|Pesticides|1993|BHAGCHEM|BHAGCHEM
33084|VYAPAR INDUSTRIES LTD.|020102000000|Private (Indian)|0102040000000000|Other fund based financial services|1983|NA|VYAPAR
33097|BHAGWANDAS AUTO FINANCE LTD.|020102000000|Private (Indian)|0101040501010000|Road transport services|1990|NA|BHAGWANDAS A
33103|PRADHIN LTD.|020102000000|Private (Indian)|0101040401000000|Wholesale trading|1982|NA|PRADHIN
33130|BHAGWATI AUTOCAST LTD.|020102000000|Private (Indian)|0101013501150000|Castings & forgings|1981|NA|BGWTATO
33133|T G B BANQUETS & HOTELS LTD.|020102000000|Private (Indian)|0101040101000000|Hotels & restaurants|1999|TGBHOTELS|TGBHOTELS
33145|BHAGWATI COTTONS LTD.|020102000000|Private (Indian)|0101040401000000|Wholesale trading|1995|NA|BHAGCOT
33162|BHAGWATI GLASS CONTAINERS LTD.|020102000000|Private (Indian)|0101015003000000|Glass & glassware|1988|NA|BHAGWATI GLS
33251|FARMAX INDIA LTD.|020102000000|Private (Indian)|0101020300000000|Minerals|1995|FARMAXIND|FARMAXIND
33264|BHAGYANAGAR INDIA LTD.|020101030989|Surana Udyog Group|0101013505050000|Copper & copper products|1985|BHAGYANGR|BHAGYNAGAR
33275|SRI K P R INDUSTRIES LTD.|020102000000|Private (Indian)|0102040000000000|Other fund based financial services|1988|NA|SRIKPRIND
33282|BHAGYASHREE LEASING & FINANCE LTD.|020102000000|Private (Indian)|0102040000000000|Other fund based financial services|1994|NA|BHAGYFN
33295|BHAGYODAYA INFRASTRUCTURE DEVP. LTD.|020102000000|Private (Indian)|0101060209000000|Other construction & allied activities|1974|NA|BIDL
33362|BHAKRA INDUSTRIES LTD.|020102000000|Private (Indian)|0101011101200000|Vegetable oils & products|1991|NA|BHAKRA IND.
33455|SINDHU TRADE LINKS LTD. (1992)|020102000000|Private (Indian)|0101040509000000|Transport logistics services|1992|NA|SINDHUTRAD
33477|BHANDARI HOSIERY EXPORTS LTD.|020102000000|Private (Indian)|0101011505000000|Cloth|1993|BHANDARI|BHANDHOS
33501|R K B AGRO INDS. LTD.|020102000000|Private (Indian)|0101040401000000|Wholesale trading|1979|NA|RKB
33526|BHANOT CONSTRUCTION & HOUSING LTD.|020102000000|Private (Indian)|0101040401000000|Wholesale trading|1976|NA|BCHL
33537|BHANSALI ENGINEERING POLYMERS LTD.|020102000000|Private (Indian)|0101012040000000|Polymers|1984|BEPL|BEPL
33633|BHARANI OILS LTD.|020102000000|Private (Indian)|0101011101200000|Vegetable oils & products|1989|NA|BHARANI OILS
33660|BHARAT BERG LTD.|020102000000|Private (Indian)|0101013501100000|Steel|1985|NA|BHARAT BERG
33667|BHARAT BHUSHAN FINANCE & COMMODITY BROKERS LTD.|020102000000|Private (Indian)|0102040000000000|Other fund based financial services|1992|NA|BHARAT
33671|BHARAT BIJLEE LTD.|020102000000|Private (Indian)|0101014005050000|Generators, transformers & switchgears|1946|BBL|BBL
33693|BHARAT CHEMICALS & FERTILIZERS LTD.|020102000000|Private (Indian)|0101012015000000|Fertilisers|1977|NA|BHARAT CHEM
33703|BHARAT COMMERCE & INDS. LTD.|020101010203|Birla B.K. Group|0110000000000000|Diversified|1999|NA|BHRATCOM
33721|BHARAT DYNAMICS LTD.|010101000000|Central Govt. - Commercial Enterprises|0101014010050000|Communication equipment|1970|BDL|BDL
33723|B E M L LTD.|010101000000|Central Govt. - Commercial Enterprises|0101016000000000|Diversified manufacturing|1964|BEML|BEML
33727|BHARAT ELECTRONICS LTD.|010101000000|Central Govt. - Commercial Enterprises|0101014010050000|Communication equipment|1954|BEL|BEL
